"URL","from","to","weight","betweenness.edges"
"https://www.altmetric.com/details/12125570","@bryan_caplan","@SBoundsJohnson",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Pro_2A_AZ",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@briantroy",1,1
"https://www.altmetric.com/details/12125570","@mariasacchetti","@ZenTaoPrincess",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@nunznini",1,1
"https://www.altmetric.com/details/12125570","@theNASEM","@NAS_BISO",1,1
"https://www.altmetric.com/details/12125570","@i_aver","@HereForTheRatio",1,1
"https://www.altmetric.com/details/12125570","@theNASEM","@kaelbama",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Samanthacea",1,1
"https://www.altmetric.com/details/12125570","@profzeke","@susleec",1,1
"https://www.altmetric.com/details/12125570","@AndrewBeatty","@QuisCustIdiots",1,1
"https://www.altmetric.com/details/12125570","@theNASEM","@TunedToTheresa",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@justagalforDJT",1,1
"https://www.altmetric.com/details/12125570","@travton","@travton",1,0
"https://www.altmetric.com/details/12125570","@JynErso_2017","@duhgurlz",1,2
"https://www.altmetric.com/details/12125570","@theNASEM","@ScottWollek",1,1
"https://www.altmetric.com/details/12125570","@doug_rand","@SDS_Sunlight",2,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@mr_bossram",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@josephjmolloy",1,1
"https://www.altmetric.com/details/12125570","@David_J_Bier","@albrgr",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@tnetcenter",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@LunaticSX",1,1
"https://www.altmetric.com/details/12125570","@David_J_Bier","@Vicsl7",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Candace88813196",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@inperspective0",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@lasj45",1,1
"https://www.altmetric.com/details/12125570","@theNASEM","@SorishaPragyan",1,1
"https://www.altmetric.com/details/12125570","@animaeme","@ladette_maggie",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@MoiraAtLarge",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@epilo",1,1
"https://www.altmetric.com/details/12125570","@David_J_Bier","@FrakerMonica",1,1
"https://www.altmetric.com/details/12125570","@SeanThoennes","@IsisKiwen",1,1
"https://www.altmetric.com/details/12125570","@Prof_MPastor","@pricearmstrong",1,1
"https://www.altmetric.com/details/12125570","@theNASEM","@FrenchRedFrog",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Michael2014abc",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@mkkisiel",1,2
"https://www.altmetric.com/details/12125570","@pkedrosky","@reberiguete",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Captainziggels",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@DrDeplorable2u",1,1
"https://www.altmetric.com/details/12125570","@animaeme","@RealPA_Resister",1,1
"https://www.altmetric.com/details/12125570","@m_clem","@bechhof",1,1
